SummaryScore_SpatialSpan,RT_SpatialSpan,user_id,SummaryScore_targetDetection,RT_targetDetection,SummaryScore_VerbalAnalogies,RT_VerbalAnalogies,Residence,Language binary,Ethnicity,Sex,Education,Handedness,Occupation,Salary,timepoint_by_date,Age,Imputation,Device Summary,Normative,Age squared,Age decade
8.0,5414.0,fc9b0048ab9e40a9aa823e195bd12043,49.0,1916.0,4,4722.0,United States,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£40-50K,tp1,27.0,0,Apple phone,0,729.0,20
7.0,3066.5,87f080fe66374700a2b54c350a560d20,71.0,886.0,16,3045.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£10-20K,tp1,27.0,0,Android phone,0,729.0,20
7.0,2366.0,3c20040d-c5a7-4394-b7b4-daa04ca5f240,62.0,1303.0,22,2355.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£0-10K,tp1,28.0,0,Apple phone,0,784.0,20
6.0,3332.5,3edc12d8ead348b094782ca9b74f8446,48.0,876.5,-9,4751.5,United Kingdom,English,American Hispanic,Female,00_preGCSE,Left handed,Worker,£30-40K,tp1,36.0,0,Apple phone,0,1296.0,30
5.0,1591.5,b1cc65d5aaa44aecb557747438897a41,43.0,2017.0,4,2597.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£40-50K,tp1,38.0,0,Apple phone,0,1444.0,30
4.0,3974.0,00de22d24b7b4535a9bf437b1dad102c,65.0,1230.5,-2,2326.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£10-20K,tp1,38.0,0,Apple phone,0,1444.0,30
5.0,2853.0,a8f21c9254bd4075b4be9651c4ac131b,68.0,1361.0,7,3949.5,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£50-60K,tp1,33.0,0,Android phone,0,1089.0,30
4.0,3529.0,2e5ac0b46bc0434dbd62000f5b8bd630,66.0,1058.0,1,2047.5,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£10-20K,tp1,36.0,0,Apple phone,0,1296.0,30
6.0,4576.0,2c74bed39fb741ba9e30c0095ae15732,65.0,1076.0,12,3208.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£20-30K,tp1,37.0,0,Android phone,0,1369.0,30
6.0,4969.0,4de6902f88714784ae74cb2c7ffa223a,59.0,1855.0,3,5378.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£30-40K,tp1,33.0,0,Apple phone,0,1089.0,30
5.0,3226.0,325813490d96407c82d0bc2203e808ff,56.0,1922.0,11,3811.5,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£20-30K,tp1,33.0,0,Android phone,0,1089.0,30
7.0,5150.0,aa7d7fa6-f359-44a5-86b5-318017832203,54.0,1723.5,8,3104.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£0-10K,tp1,40.0,0,Apple phone,0,1600.0,30
6.0,3407.0,010eeb91b01a403eb4171b86d80a8564,68.0,1130.0,19,5399.5,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£0-10K,tp1,40.0,0,Android phone,0,1600.0,30
4.0,1908.0,debe41d7-fcf0-41a8-8d72-f754da71dd3b,41.0,1571.0,-12,875.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£10-20K,tp1,40.0,0,Apple phone,0,1600.0,30
8.0,3317.5,3d728ca260d6474fb8e1acb99cf8bed7,66.0,1330.5,34,2742.0,United Kingdom,Other,American Hispanic,Female,00_preGCSE,Right handed,Worker,£90-100K,tp1,34.0,0,Android phone,0,1156.0,30
6.0,4111.5,9202333231264659a1a298eed32ae79e,61.0,1115.0,6,3120.0,United Kingdom,Other,American Hispanic,Female,00_preGCSE,Right handed,Worker,£50-60K,tp1,38.0,0,Android phone,0,1444.0,30
5.0,2817.0,eed6e1c1d7c64dc4b02bb633ce841f46,71.0,1172.0,22,4362.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Left handed,Worker,£0-10K,tp1,49.0,0,Android phone,0,2401.0,40
7.0,8403.0,030d8c367abb47b99533be900c8f1f93,39.0,2133.0,14,4537.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£10-20K,tp1,47.0,0,Android phone,0,2209.0,40
6.0,4578.0,e9e1cfc3b9114ddd88bcc618f94fb97e,53.0,1671.0,18,4923.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£20-30K,tp1,49.0,0,Apple phone,0,2401.0,40
6.0,2210.0,2d983ce3dd7142b69769bbdb6fb32d70,39.0,2049.0,16,2616.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£20-30K,tp1,45.0,0,Apple phone,0,2025.0,40
5.0,3279.0,471767406ef84e939d68a522041bbf68,53.0,2135.0,12,3365.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£10-20K,tp1,47.0,0,Android phone,0,2209.0,40
4.0,4168.5,42d08744e05846a99eccd6466a6718bd,66.0,1192.5,9,3637.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£10-20K,tp1,50.0,0,Apple phone,0,2500.0,40
5.0,1755.0,ee1036a2f73043558be65684bdf60b06,45.0,1539.5,14,1815.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£20-30K,tp1,42.0,0,Apple phone,0,1764.0,40
6.0,3680.0,ed6622b7d3384b9eb7502e9ead3f8ab4,60.0,1851.0,17,2809.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£20-30K,tp1,49.0,0,Apple phone,0,2401.0,40
