user_id,How has your drug use changed due to the pandemic?,Why has your drug use changed during the pandemic?
0b4d4414-529a-4c54-bed8-e0936cb09576,I am using less,Less bothered too lazy even for drugs
0e6e9a41-671d-44b5-9825-483dc1066606,I am using less,Stopped.
0faf0029-b51c-40dd-9738-8e1467b1079c,I am using less,I’ve been away from uni and with my family instead so less peer pressure and access to drugs. Also haven’t been able to go out to clubs where most of my drug use occurs.
11ddca95-7fbf-4d83-b3a9-5a68d75bb210,I am using less,No social interaction 
1d9d9d93-4933-485e-97c1-025038933c0d,I am using less,Online order easier or mushrooms 
1eff480e-3b8b-4d49-972d-86db2c2028aa,I am using less,Not living with friends
20a3703b-3e46-4c1c-aebd-cd4b30e27c3f,I am using less,More time to reflect
295d9d0a-3822-4f63-8572-fcd99acc5ef8,I am using less,I'm pregnant
29ac1ad5-c6a3-494e-8987-dc32b247783c,I am using less,Less opportunity and no social events where they may be available. 
2a10143b-a77b-4cce-ba47-3b5949939d8b,I am using less,"I have tried drugs in the past, mainly cannabis, but I stopped 4 years ago and have not taken anything since.  Unfortunately, since this scenario is never envisaged, the test seems to assume that if you tried drugs once (as asked) you will never stop. "
2bddcd57-e36e-4a67-b7a8-cdc0a014734d,I am using less,Unable to meet with friends
2ff15b87-0f29-433c-8734-6ab355ec9935,I am using less,not going to parties or raves
31fcf2ea-4703-46db-8a1a-6955aad73c5e,I am using less,Social
326300f8-43d0-4a72-9c8b-95797a01ddc5,I am using less,No access
3edd49d0-ed32-4e0d-8138-27b8d40d5069,I am using less,No access
3ff36041-3a9b-456d-b4ce-457792c9e681,I am using less,Less nights out 
476948e9-c2f2-487c-8a8f-d0495b8d88e1,I am using less,Had no desire 
4984db8b-fb66-4996-b979-bc8cea21b412,I am using less,Social aspect is gone.
4c2277e8-2b40-4288-8692-733a6126deb2,I am using less,Financial and decided to quit for better health
53ee6d85-931c-419c-88cc-17664d1cbb95,I am using less,Lost interest 
5a7b31b9-ed66-425c-8285-c3b7ab612344,I am using less,Unable to socialise with friends go to the pub nightclubs events e.c.t
5b140c2e-4f59-41ab-a2d6-c345f16accaf,I am using less,At home
5d21c865-d924-4dd2-81e5-f0fe9d1f8c6f,I am using less,No need
5f321b7b-832e-4f55-b9ed-95d6e091abcf,I am using less,It was the closest answer to the fact that I dabbled for a year or so whilst in school almost 30 years ago but not since
5f999030-9d81-4d83-bb08-de19f50e04b3,I am using less,I do not see the people anymore
621927d4-3e04-43ee-8dc5-86b287030809,I am using less,I gave up a while ago to be honest before it all started
6340c044-920d-4812-b207-5b03ca59f78a,I am using less,I don't use them really
6abc4c52-a5bb-45e0-9954-aafe0d1c480b,I am using less,No need or desire
7046f0bc-8894-479d-86e3-1160ac09dcde,I am using less,"Less work, sparetime"
