user_id,How has your drug use changed due to the pandemic?,Why has your drug use changed during the pandemic?
107cee6d-0024-4861-90be-2f467758776c,I am using more,Increase in marijuana use for relaxation/stress relief
2feae3b8-ea3b-4750-acec-02418f995199,I am using more,Microdosing psilocybin 
3a476ba2-6dbb-42d1-b0f5-c877c0f368d8,I am using more,Boredom
3f8b0ac6-200f-49b4-b061-70084536d519,I am using more,"I’m bored and have more free time. Also I have found more people that sell shrooms, which is unrelated to the pandemic"
4be44530-aeab-4302-bd92-b000b4eae2fb,I am using more,Went to university 
73ec9df6-69d8-4cb2-a6bd-eeee7e3ea45e,I am using more,To soothe my anxiety 
7817dc84-fd3a-414c-8aa5-c6d77e3e6f4d,I am using more,"Creative thinking, stress management."
79f46d27-b7e4-4728-a4aa-223f4b357138,I am using more,Am at home a lot more and I like the way cannabis makes me feel
8e0c22f6-e6c6-4d4d-b9a1-5d1d325e55c2,I am using more,Entertainment
9bcc8e70-a073-4623-ab93-5b37dd385a8e,I am using more,Pressure from people
a1080174-2486-446b-8cf6-31632f255e9c,I am using more,"Fewer events, makes for a more exciting evening"
a4ffb412-f7b4-4db8-98e9-e96556877f89,I am using more,"Depression, loneliness, feeling of feeling empty, a void something missing, split with a partner out the blue. "
a84a0c90-f8e4-4dfe-b52e-8e1446bb9b46,I am using more,"More time spent being bored and at a loss of how to pass the time. Also, feeling low and taking recreational drugs to try and feel better"
b81c4193-60ce-48c7-8e53-274792e4bf1f,I am using more,smoking weed cures boredom 
c4245a0f-3e8a-41e7-b9f5-95f5ced55a5f,I am using more,"Boredom/accessibility/situational. I have done E twice during this period, separated by around 3 months, and ket twice, separated by about 4 months, so I'm not concerned about restricting myself, or doing so to excess."
cc6ffc8c-2c93-4636-8f41-ba539d3e38c6,I am using more,"Anxiety, hopelessness, boredom"
cd2ac296-45a1-4276-9c02-2c198085c119,I am using more,"Student living in student halls from September - December, tried drugs with flatmates who use for a bit of fun/because I was curious. Was something to do since we couldn't go out to clubs. "
d14cc0fc-2934-433b-869d-2d318bb7adda,I am using more,for fun and boredom  
d283973f-2dd6-422e-a860-b36ef6fa5e4b,I am using more,Boredom (weed only)
d2d63be2-455d-4429-8327-871af40a4669,I am using more,Change of routine 
d4c44beb-206e-44f8-af0c-fb03588a2bcd,I am using more,As a means to occupy and escape myself 
e5f51570-9523-401f-89ca-656c1bc69d9f,I am using more,Bored
f28b577b-08c7-4906-968f-0ef9f8910479,I am using more,Went to uni
