user_id,Sex,Education,Age,Handedness,Residence,Ethnicity,Occupation,Salary,Residence (County)
8162511fe0dc4d04afe57193a8804afa,Male,01_School,19.0,Right handed,United Kingdom,White,Worker,,
95bc4b40-60e9-4342-8de2-55f6d7deef7d,Male,01_School,66.0,Right handed,United Kingdom,White,Retired,,West Sussex
ac8098ba57d54e16a12bc8d72433ad0f,Male,01_School,55.0,Left handed,United Kingdom,White,Worker,£30-40K,Hampshire
95596ceabf6e45af80b6f5c9ab7ae2c8,Female,00_preGCSE,74.0,Right handed,United Kingdom,White,Unemployed/Looking for work,,
d76fe6d2ca0a4e11a8d9506b0b9fe2a7,Male,01_School,61.0,Right handed,United Kingdom,White,Worker,£10-20K,Aberdeenshire
e7acb2efcf1d4958a09545dd873c2913,Male,02_Degree,69.0,Right handed,United Kingdom,White,Retired,,Greater Manchester
6f3d4226a0924646b3339329214cec0b,Male,02_Degree,52.0,Left handed,United Kingdom,White,Retired,,London
454699d2f82842f38053fd36ecf7a311,Male,00_preGCSE,53.0,Right handed,United Kingdom,Unknown,Worker,£20-30K,West Midlands
67fdee65-604c-4fbb-8ed8-8eba1711b43a,Female,00_preGCSE,67.0,Right handed,United Kingdom,White,Retired,,Lincolnshire
b3559a283db04f61a3e383740a7aae84,Male,01_School,59.0,Right handed,United Kingdom,White,Worker,£20-30K,Lincolnshire
dc35d19c57044663a1d0eca8dd0c31c1,Female,01_School,53.0,Right handed,United Kingdom,White,Worker,,
dc35d19c57044663a1d0eca8dd0c31c1,Female,01_School,53.0,Right handed,United Kingdom,Asian or Asian British,Worker,,
3d5380add16f4139965a03eaaf31a23b,Female,02_Degree,40.0,Right handed,United Kingdom,White,Worker,£30-40K,Denbighshire
351074812bc341cca1c0a8580213a5a0,Female,02_Degree,51.0,Right handed,United Kingdom,White,Worker,£30-40K,Hertfordshire
7d4721d8-ffc5-4ad1-b4cc-a4e539e70058,Male,01_School,56.0,Right handed,United Kingdom,White,Retired,,Hampshire
b194e74d26df414baab66cae446a2371,Female,02_Degree,64.0,Right handed,United Kingdom,White,Worker,£10-20K,Merseyside
2ee3d725-4c65-40e6-82ea-c944a49f7ede,Male,02_Degree,46.0,Right handed,United Kingdom,White,Worker,,
3dd9fef75aa24698b186aa0434b4698e,Female,02_Degree,46.0,Right handed,United Kingdom,White,Unemployed/Looking for work,,West Berkshire
d8a714f5-ce53-4c95-9ee5-dc00def4d3f5,Female,02_Degree,82.0,Right handed,United Kingdom,White,Retired,,
1c1dccc169c241498d271af00b8cd433,Female,02_Degree,72.0,Right handed,United Kingdom,White,Retired,,Monmouthshire
a9b73081-e8d3-44cd-ba74-c2fd8c7b7f3b,Female,02_Degree,75.0,Right handed,United Kingdom,White,Retired,,
fa0ae02358ad445089efaafe4898c2ce,Male,01_School,51.0,Right handed,United Kingdom,White,Worker,,
e69939baba764f92aff141e1790e7d38,Male,,2.0,Right handed,United Kingdom,American Hispanic,,,
f620582ba1834533a2cbf08da080badd,Male,01_School,54.0,Right handed,United Kingdom,White,Worker,,
73e1f97d293a4d4b82f1354843fe7a81,Male,00_preGCSE,76.0,Right handed,United Kingdom,White,Retired,,Greater Manchester
